flow5 v7.54

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8978   0.44802    0.2397
 -23.000  -0.8669   0.40654    0.2194
 -22.000  -0.8306   0.36356    0.1928
 -21.000  -0.7877   0.32107    0.1596
 -20.000  -0.7388   0.28259    0.1229
 -19.000  -0.6871   0.25122    0.0884
 -18.000  -0.6363   0.22734    0.0603
 -17.000  -0.5889   0.20892    0.0395
 -16.000  -0.5455   0.19345    0.0241
 -15.000  -0.5062   0.17914    0.0124
 -14.000  -0.4717   0.16514    0.0032
 -13.000  -0.4431   0.15113   -0.0041
 -12.000  -0.4179   0.13668   -0.0105
 -11.000  -0.3911   0.12231   -0.0175
 -10.000  -0.3652   0.11043   -0.0255
  -9.000  -0.3431   0.09978   -0.0352
  -8.000  -0.3283   0.06189   -0.0616
  -7.000  -0.3102   0.01831   -0.0953
  -6.000  -0.2065   0.01235   -0.0991
  -5.000  -0.0982   0.01024   -0.0989
  -4.000   0.0141   0.00892   -0.0991
  -3.000   0.1289   0.00798   -0.0997
  -2.000   0.2445   0.00731   -0.1005
  -1.000   0.3579   0.00642   -0.1023
   0.000   0.4742   0.00528   -0.1018
   1.000   0.5834   0.00500   -0.1013
   2.000   0.6944   0.00526   -0.1014
   3.000   0.8045   0.00573   -0.1015
   4.000   0.9137   0.00640   -0.1018
   5.000   1.0195   0.00743   -0.1019
   6.000   1.1227   0.00916   -0.1008
   7.000   1.2189   0.01136   -0.0991
   8.000   1.3086   0.01369   -0.0969
   9.000   1.3913   0.01609   -0.0937
  10.000   1.4624   0.01880   -0.0886
  11.000   1.5187   0.02199   -0.0818
  12.000   1.5562   0.02628   -0.0743
  13.000   1.5764   0.03238   -0.0685
  14.000   1.5803   0.04116   -0.0663
  15.000   1.5650   0.05402   -0.0696
  16.000   1.5206   0.07234   -0.0791
  17.000   1.4387   0.09864   -0.0970
  18.000   1.3266   0.13258   -0.1231
  19.000   1.2014   0.17629   -0.1544
  20.000   1.0879   0.23217   -0.1870
  21.000   1.0059   0.29275   -0.2146
  22.000   0.9494   0.35353   -0.2303
  23.000   0.9276   0.40485   -0.2424
  24.000   0.9276   0.44929   -0.2527
  25.000   0.9398   0.48896   -0.2623
  26.000   0.9567   0.52664   -0.2716
  27.000   0.9750   0.56369   -0.2806
  28.000   0.9933   0.60050   -0.2894
