flow5 v7.54

 Calculated polar for: Epler E423

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8690   0.44592    0.2267
 -23.000  -0.8162   0.40372    0.1971
 -22.000  -0.7449   0.35992    0.1571
 -21.000  -0.6534   0.31674    0.1084
 -20.000  -0.5492   0.27805    0.0591
 -19.000  -0.4490   0.24718    0.0190
 -18.000  -0.3657   0.22456   -0.0086
 -17.000  -0.2960   0.20762   -0.0277
 -16.000  -0.2261   0.19262   -0.0444
 -15.000  -0.1504   0.17683   -0.0615
 -14.000  -0.0728   0.15919   -0.0786
 -13.000   0.0097   0.14016   -0.0964
 -12.000   0.1089   0.12149   -0.1168
 -11.000   0.2213   0.10563   -0.1389
 -10.000   0.3074   0.09423   -0.1544
  -9.000   0.3516   0.08587   -0.1604
  -8.000   0.3806   0.07833   -0.1630
  -7.000   0.4064   0.07107   -0.1655
  -6.000   0.4328   0.06383   -0.1691
  -5.000   0.4863   0.05648   -0.1763
  -4.000   0.6311   0.03378   -0.2122
  -3.000   0.7906   0.01618   -0.2424
  -2.000   0.9030   0.01495   -0.2418
  -1.000   1.0122   0.01440   -0.2421
   0.000   1.1198   0.01461   -0.2413
   1.000   1.2230   0.01504   -0.2397
   2.000   1.3241   0.01539   -0.2385
   3.000   1.4229   0.01588   -0.2370
   4.000   1.5238   0.01577   -0.2357
   5.000   1.6162   0.01633   -0.2327
   6.000   1.7016   0.01713   -0.2284
   7.000   1.7828   0.01793   -0.2232
   8.000   1.8559   0.01883   -0.2164
   9.000   1.9163   0.01994   -0.2073
  10.000   1.9599   0.02158   -0.1962
  11.000   1.9859   0.02440   -0.1849
  12.000   1.9955   0.02930   -0.1751
  13.000   1.9872   0.03702   -0.1672
  14.000   1.9555   0.04856   -0.1613
  15.000   1.8958   0.06494   -0.1580
  16.000   1.8144   0.08467   -0.1603
  17.000   1.7176   0.10632   -0.1713
  18.000   1.5994   0.13270   -0.1906
  19.000   1.4555   0.16817   -0.2137
  20.000   1.2978   0.21543   -0.2330
  21.000   1.1542   0.27254   -0.2436
  22.000   1.0495   0.33266   -0.2483
  23.000   0.9890   0.38912   -0.2522
  24.000   0.9629   0.43938   -0.2576
  25.000   0.9587   0.48431   -0.2646
  26.000   0.9665   0.52565   -0.2727
  27.000   0.9801   0.56475   -0.2812
  28.000   0.9961   0.60262   -0.2898
