RPM	CT0	CP0
1500	0.20000	0.15500
1800	0.20083	0.15361
2100	0.20167	0.15222
2400	0.20250	0.15083
2700	0.20333	0.14944
3000	0.20417	0.14806
3300	0.20500	0.14667
3600	0.20583	0.14528
3900	0.20667	0.14389
4200	0.20750	0.14250
4500	0.20833	0.14111
4800	0.20917	0.13972
5100	0.21000	0.13833
5400	0.21083	0.13694
5700	0.21167	0.13556
6000	0.21250	0.13417
6300	0.21333	0.13278
6600	0.21417	0.13139
6900	0.21500	0.13000
7200	0.21583	0.12861
7500	0.21666	0.12722
7800	0.21749	0.12583
8100	0.21832	0.12444
8400	0.21915	0.12305
8700	0.21998	0.12166
9000	0.22081	0.12027
9300	0.22164	0.11888
9600	0.22247	0.11749
9900	0.22330	0.11610
10200	0.22413	0.11471
10500	0.22496	0.11332
10800	0.22579	0.11193
11100	0.22662	0.11054
11400	0.22745	0.10915
11700	0.22828	0.10776
12000	0.22911	0.10637
