RPM	CT0	CP0
1500	0.08500	0.06300
1900	0.08606	0.06269
2300	0.08713	0.06237
2700	0.08819	0.06206
3100	0.08925	0.06175
3500	0.09031	0.06144
3900	0.09137	0.06112
4300	0.09244	0.06081
4700	0.09350	0.06050
5100	0.09456	0.06019
5500	0.09563	0.05988
5900	0.09669	0.05956
6300	0.09775	0.05925
6700	0.09881	0.05894
7100	0.09987	0.05863
7500	0.10094	0.05831
7900	0.10200	0.05800
8300	0.10306	0.05769
8700	0.10412	0.05738
9100	0.10518	0.05707
9500	0.10624	0.05676
9900	0.10730	0.05645
10300	0.10836	0.05614
10700	0.10942	0.05583
11100	0.11048	0.05552
11500	0.11154	0.05521
11900	0.11260	0.05490
12300	0.11366	0.05459
12700	0.11472	0.05428
13100	0.11578	0.05397
13500	0.11684	0.05366
13900	0.11790	0.05335
