RPM	CT0	CP0
1500	0.23500	0.19000
1800	0.23567	0.18833
2100	0.23633	0.18667
2400	0.23700	0.18500
2700	0.23767	0.18333
3000	0.23833	0.18167
3300	0.23900	0.18000
3600	0.23967	0.17833
3900	0.24033	0.17667
4200	0.24100	0.17500
4500	0.24167	0.17333
4800	0.24233	0.17167
5100	0.24300	0.17000
5400	0.24367	0.16833
5700	0.24433	0.16667
6000	0.24500	0.16500
6300	0.24567	0.16333
6600	0.24634	0.16166
6900	0.24701	0.15999
7200	0.24768	0.15832
7500	0.24835	0.15665
7800	0.24902	0.15498
8100	0.24969	0.15331
8400	0.25036	0.15164
8700	0.25103	0.14997
9000	0.25170	0.14830
9300	0.25237	0.14663
9600	0.25304	0.14496
9900	0.25371	0.14329
