flow5 v7.54

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.9082   0.44649    0.2432
 -23.000  -0.8932   0.39928    0.2259
 -22.000  -0.8970   0.34100    0.2034
 -21.000  -0.9260   0.27563    0.1740
 -20.000  -0.9774   0.21290    0.1373
 -19.000  -1.0590   0.15710    0.0925
 -18.000  -1.1770   0.10690    0.0509
 -17.000  -1.2826   0.06861    0.0167
 -16.000  -1.3464   0.04480   -0.0082
 -15.000  -1.3591   0.03245   -0.0193
 -14.000  -1.3446   0.02589   -0.0196
 -13.000  -1.3041   0.02187   -0.0157
 -12.000  -1.2392   0.01902   -0.0119
 -11.000  -1.1609   0.01678   -0.0083
 -10.000  -1.0779   0.01492   -0.0044
  -9.000  -0.9913   0.01338   -0.0006
  -8.000  -0.8963   0.01209    0.0019
  -7.000  -0.7898   0.01093    0.0021
  -6.000  -0.6743   0.00981    0.0003
  -5.000  -0.5555   0.00855   -0.0023
  -4.000  -0.4344   0.00742   -0.0050
  -3.000  -0.3194   0.00651   -0.0053
  -2.000  -0.2155   0.00590   -0.0030
  -1.000  -0.1104   0.00553   -0.0012
   0.000  -0.0000   0.00535   -0.0000
   1.000   0.1104   0.00553    0.0012
   2.000   0.2155   0.00590    0.0030
   3.000   0.3194   0.00651    0.0053
   4.000   0.4344   0.00742    0.0050
   5.000   0.5555   0.00855    0.0023
   6.000   0.6743   0.00981   -0.0003
   7.000   0.7898   0.01093   -0.0021
   8.000   0.8963   0.01209   -0.0019
   9.000   0.9913   0.01338    0.0006
  10.000   1.0779   0.01492    0.0044
  11.000   1.1609   0.01678    0.0083
  12.000   1.2392   0.01902    0.0119
  13.000   1.3041   0.02187    0.0157
  14.000   1.3446   0.02589    0.0196
  15.000   1.3591   0.03245    0.0193
  16.000   1.3464   0.04480    0.0082
  17.000   1.2826   0.06861   -0.0167
  18.000   1.1770   0.10690   -0.0509
  19.000   1.0590   0.15710   -0.0925
  20.000   0.9774   0.21290   -0.1373
  21.000   0.9260   0.27563   -0.1740
  22.000   0.8970   0.34100   -0.2034
  23.000   0.8932   0.39928   -0.2259
  24.000   0.9082   0.44649   -0.2432
  25.000   0.9298   0.48715   -0.2571
  26.000   0.9515   0.52558   -0.2688
  27.000   0.9723   0.56309   -0.2791
  28.000   0.9919   0.60017   -0.2887
