flow5 v7.54

 Calculated polar for: NACA 2412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8968   0.44437    0.2387
 -23.000  -0.8669   0.40175    0.2180
 -22.000  -0.8323   0.35739    0.1907
 -21.000  -0.7924   0.31355    0.1567
 -20.000  -0.7481   0.27408    0.1194
 -19.000  -0.7024   0.24211    0.0843
 -18.000  -0.6586   0.21772    0.0557
 -17.000  -0.6183   0.19859    0.0341
 -16.000  -0.5818   0.18219    0.0185
 -15.000  -0.5482   0.16808    0.0082
 -14.000  -0.5147   0.15654   -0.0041
 -13.000  -0.7400   0.08395   -0.0423
 -12.000  -0.9052   0.04124   -0.0625
 -11.000  -0.9038   0.03204   -0.0573
 -10.000  -0.8565   0.02676   -0.0488
  -9.000  -0.7971   0.02286   -0.0408
  -8.000  -0.7242   0.02005   -0.0352
  -7.000  -0.6243   0.01772   -0.0350
  -6.000  -0.4964   0.01561   -0.0404
  -5.000  -0.3559   0.01364   -0.0480
  -4.000  -0.2160   0.01184   -0.0546
  -3.000  -0.0818   0.01043   -0.0592
  -2.000   0.0327   0.00901   -0.0591
  -1.000   0.1271   0.00807   -0.0531
   0.000   0.2406   0.00796   -0.0507
   1.000   0.3815   0.00830   -0.0565
   2.000   0.5076   0.00867   -0.0595
   3.000   0.6119   0.00915   -0.0578
   4.000   0.7051   0.00977   -0.0539
   5.000   0.7955   0.01049   -0.0498
   6.000   0.8852   0.01174   -0.0457
   7.000   0.9703   0.01379   -0.0408
   8.000   1.0448   0.01676   -0.0353
   9.000   1.1157   0.01975   -0.0298
  10.000   1.1767   0.02305   -0.0236
  11.000   1.2233   0.02712   -0.0165
  12.000   1.2585   0.03222   -0.0104
  13.000   1.2880   0.03854   -0.0067
  14.000   1.3119   0.04634   -0.0061
  15.000   1.3207   0.05664   -0.0097
  16.000   1.2957   0.07235   -0.0200
  17.000   1.2248   0.09772   -0.0412
  18.000   1.1264   0.13731   -0.0757
  19.000   0.9570   0.21146   -0.1182
  20.000   0.8635   0.28202   -0.1613
  21.000   0.8718   0.32296   -0.1898
  22.000   0.8835   0.36598   -0.2135
  23.000   0.8979   0.40954   -0.2322
  24.000   0.9153   0.45147   -0.2469
  25.000   0.9348   0.49139   -0.2592
  26.000   0.9548   0.52981   -0.2700
  27.000   0.9747   0.56733   -0.2798
  28.000   0.9938   0.60440   -0.2891
