flow5 v7.54

 Calculated polar for: S1210

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8782   0.44136    0.2301
 -23.000  -0.8350   0.39940    0.2035
 -22.000  -0.7797   0.35594    0.1679
 -21.000  -0.7109   0.31316    0.1248
 -20.000  -0.6332   0.27473    0.0802
 -19.000  -0.5560   0.24363    0.0421
 -18.000  -0.4882   0.22007    0.0144
 -17.000  -0.4322   0.20216   -0.0043
 -16.000  -0.3864   0.18766   -0.0169
 -15.000  -0.3475   0.17491   -0.0260
 -14.000  -0.3122   0.16281   -0.0335
 -13.000  -0.2769   0.15043   -0.0406
 -12.000  -0.2374   0.13692   -0.0483
 -11.000  -0.1897   0.12298   -0.0565
 -10.000  -0.1403   0.11240   -0.0647
  -9.000  -0.1045   0.09528   -0.0774
  -8.000  -0.0335   0.05920   -0.1158
  -7.000   0.1390   0.01820   -0.1978
  -6.000   0.3488   0.01096   -0.2339
  -5.000   0.4940   0.00975   -0.2435
  -4.000   0.6190   0.00936   -0.2470
  -3.000   0.7461   0.00913   -0.2511
  -2.000   0.8690   0.00842   -0.2555
  -1.000   0.9851   0.00879   -0.2561
   0.000   1.0958   0.00921   -0.2555
   1.000   1.2076   0.00957   -0.2546
   2.000   1.3198   0.00990   -0.2537
   3.000   1.4311   0.01022   -0.2530
   4.000   1.5406   0.01066   -0.2522
   5.000   1.6466   0.01134   -0.2507
   6.000   1.7448   0.01244   -0.2480
   7.000   1.8271   0.01411   -0.2426
   8.000   1.8908   0.01651   -0.2336
   9.000   1.9511   0.01904   -0.2242
  10.000   2.0073   0.02165   -0.2141
  11.000   2.0559   0.02462   -0.2036
  12.000   2.0925   0.02854   -0.1934
  13.000   2.1086   0.03452   -0.1848
  14.000   2.0926   0.04449   -0.1794
  15.000   2.0362   0.06091   -0.1789
  16.000   1.9409   0.08421   -0.1845
  17.000   1.8151   0.11323   -0.1980
  18.000   1.6640   0.14803   -0.2187
  19.000   1.4902   0.18977   -0.2410
  20.000   1.3084   0.23956   -0.2564
  21.000   1.1496   0.29657   -0.2614
  22.000   1.0405   0.35364   -0.2608
  23.000   0.9826   0.40504   -0.2606
  24.000   0.9604   0.45060   -0.2631
  25.000   0.9587   0.49214   -0.2681
  26.000   0.9676   0.53131   -0.2747
  27.000   0.9817   0.56912   -0.2823
  28.000   0.9979   0.60618   -0.2904
