flow5 v7.54

 Calculated polar for: S1210

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

  alpha     CL        CD        Cm
 ------- -------- --------- ---------
 -24.000  -0.8787   0.44271    0.2305
 -23.000  -0.8358   0.40102    0.2040
 -22.000  -0.7806   0.35809    0.1685
 -21.000  -0.7120   0.31612    0.1254
 -20.000  -0.6338   0.27861    0.0807
 -19.000  -0.5554   0.24817    0.0426
 -18.000  -0.4851   0.22475    0.0149
 -17.000  -0.4256   0.20637   -0.0033
 -16.000  -0.3755   0.19100   -0.0151
 -15.000  -0.3330   0.17738   -0.0229
 -14.000  -0.2975   0.16504   -0.0281
 -13.000  -0.2690   0.15392   -0.0316
 -12.000  -0.2470   0.14396   -0.0339
 -11.000  -0.2285   0.13462   -0.0362
 -10.000  -0.2068   0.12461   -0.0401
  -9.000  -0.1766   0.11266   -0.0468
  -8.000  -0.1399   0.09873   -0.0559
  -7.000  -0.1010   0.08460   -0.0666
  -6.000   0.0346   0.06063   -0.1014
  -5.000   0.3165   0.02020   -0.2000
  -4.000   0.5568   0.01348   -0.2323
  -3.000   0.7216   0.01194   -0.2456
  -2.000   0.8534   0.01132   -0.2515
  -1.000   0.9658   0.01218   -0.2516
   0.000   1.0728   0.01285   -0.2508
   1.000   1.1843   0.01355   -0.2503
   2.000   1.2976   0.01431   -0.2496
   3.000   1.4110   0.01510   -0.2486
   4.000   1.5220   0.01582   -0.2472
   5.000   1.6236   0.01613   -0.2447
   6.000   1.7112   0.01659   -0.2391
   7.000   1.7932   0.01752   -0.2328
   8.000   1.8581   0.01938   -0.2238
   9.000   1.8957   0.02293   -0.2108
  10.000   1.9128   0.02802   -0.1960
  11.000   1.9222   0.03418   -0.1829
  12.000   1.9278   0.04174   -0.1733
  13.000   1.9273   0.05124   -0.1679
  14.000   1.9164   0.06294   -0.1669
  15.000   1.8894   0.07678   -0.1704
  16.000   1.8371   0.09372   -0.1797
  17.000   1.7483   0.11654   -0.1960
  18.000   1.6161   0.14887   -0.2180
  19.000   1.4492   0.19239   -0.2401
  20.000   1.2749   0.24451   -0.2546
  21.000   1.1271   0.30153   -0.2592
  22.000   1.0270   0.35744   -0.2587
  23.000   0.9743   0.40793   -0.2589
  24.000   0.9553   0.45279   -0.2620
  25.000   0.9559   0.49365   -0.2675
  26.000   0.9664   0.53233   -0.2746
  27.000   0.9812   0.57004   -0.2824
  28.000   0.9977   0.60726   -0.2905
